carat,cut,color,clarity,depth,table,price,x,y,z
0.36,Premium,F,VS2,60.5,60.0,932,4.61,4.55,2.77
0.7,Ideal,F,VS2,62.0,57.0,2535,5.71,5.67,3.53
0.81,Premium,I,SI1,61.8,58.0,2313,5.97,5.91,3.68
1.03,Premium,G,VS2,62.1,57.0,6146,6.48,6.41,4.0
1.06,Ideal,I,VS2,62.3,56.0,4449,6.51,6.56,4.07
1.0,Good,G,VS2,59.1,62.0,6369,6.42,6.45,3.8
1.7,Very Good,J,VS2,63.2,58.0,7730,7.56,7.5,4.76
0.3,Ideal,G,IF,62.0,56.0,956,4.31,4.3,2.67
0.4,Premium,E,SI1,61.3,59.0,945,4.74,4.69,2.89
1.02,Fair,I,SI2,66.2,57.0,3290,6.34,6.26,4.17
0.7,Ideal,E,VVS2,61.6,56.0,4205,5.72,5.75,3.53
0.7,Ideal,D,VS2,61.2,57.0,3788,5.69,5.75,3.5
0.32,Ideal,D,VS2,62.5,56.0,758,4.38,4.45,2.76
1.02,Ideal,G,VVS2,62.1,57.0,8401,6.43,6.45,4.0
2.03,Premium,E,SI2,61.5,59.0,18310,8.16,8.24,5.04
0.4,Very Good,F,SI1,59.6,61.0,927,4.79,4.84,2.87
1.21,Very Good,J,SI1,62.7,57.0,4312,6.72,6.77,4.23
0.9,Very Good,I,VS2,61.4,58.0,3445,6.16,6.26,3.81
1.63,Ideal,G,VS1,61.7,55.0,15697,7.56,7.6,4.68
1.01,Very Good,I,VS1,62.2,60.0,4756,6.39,6.35,3.96
0.7,Ideal,I,VVS1,62.8,56.3,2386,5.65,5.69,3.56
0.5,Very Good,G,VS1,62.9,55.0,1592,5.06,5.09,3.19
0.32,Ideal,G,VVS1,60.8,56.0,1080,4.44,4.37,2.68
0.7,Very Good,F,SI1,61.3,59.0,2401,5.68,5.74,3.5
0.9,Very Good,D,SI1,63.4,53.0,4187,6.1,6.17,3.89
2.0,Good,H,SI2,63.8,59.0,12554,7.93,7.88,5.04
1.71,Very Good,D,SI2,63.5,59.0,11873,7.57,7.59,4.81
0.32,Ideal,F,VS2,61.1,57.0,645,4.44,4.47,2.72
1.17,Premium,F,SI2,59.9,59.0,4167,6.86,6.82,4.1
1.5,Ideal,E,SI1,62.3,57.0,10214,7.33,7.28,4.55
0.62,Ideal,F,SI2,62.0,58.0,1446,5.44,5.49,3.39
0.29,Ideal,E,VS1,61.2,56.0,619,4.27,4.29,2.61
0.9,Very Good,F,SI1,63.2,56.0,4158,6.16,6.09,3.87
1.5,Premium,E,VVS2,58.7,61.0,17667,7.49,7.36,4.36
0.7,Very Good,G,I1,63.1,56.0,1115,5.6,5.51,3.51
1.5,Very Good,D,VS1,61.2,63.0,16407,7.28,7.32,4.47
2.01,Ideal,I,SI1,61.4,57.0,16562,8.13,8.19,5.01
0.32,Ideal,F,VS2,61.5,55.0,828,4.42,4.4,2.71
0.27,Very Good,E,VVS2,61.7,58.0,620,4.12,4.15,2.55
0.37,Premium,I,VVS1,61.6,59.0,874,4.66,4.62,2.86
1.04,Ideal,F,SI1,61.3,56.0,5495,6.51,6.55,4.0
0.36,Ideal,F,VS1,60.8,56.0,803,4.61,4.64,2.81
1.51,Very Good,J,VVS2,60.6,58.0,8789,7.36,7.4,4.47
0.9,Ideal,J,VS1,61.6,55.0,3587,6.24,6.27,3.85
1.08,Very Good,J,SI2,63.2,59.0,3810,6.57,6.4,4.1
0.9,Very Good,I,SI1,63.5,59.0,3121,6.1,6.05,3.86
0.71,Good,G,SI2,58.2,64.0,1902,5.82,5.77,3.37
0.72,Fair,G,VS2,64.6,55.0,2306,5.66,5.71,3.67
1.43,Fair,I,VS1,50.8,60.0,6727,7.73,7.25,3.93
0.3,Premium,I,VVS2,61.7,58.0,675,4.37,4.28,2.67
1.16,Ideal,G,VVS2,62.2,56.0,9419,6.74,6.7,4.18
1.29,Premium,H,SI1,61.6,57.0,6588,7.02,6.97,4.31
0.38,Ideal,D,VS1,62.0,55.0,1140,4.68,4.64,2.89
0.77,Very Good,J,VS2,62.1,62.0,1843,5.82,5.87,3.63
0.4,Premium,E,SI2,62.9,58.0,855,4.74,4.7,2.97
1.06,Very Good,F,SI1,62.3,56.0,4995,6.5,6.57,4.07
0.77,Ideal,E,SI2,62.4,56.0,2677,5.83,5.86,3.65
1.07,Ideal,H,VS1,62.3,55.0,6082,6.59,6.54,4.09
0.73,Good,G,I1,63.9,55.0,1210,5.76,5.69,3.65
1.16,Premium,G,VVS2,60.0,59.0,9146,6.89,6.82,4.11
2.35,Premium,I,SI1,61.8,58.0,14185,8.58,8.44,5.26
0.31,Ideal,E,SI2,61.7,56.0,558,4.4,4.35,2.7
0.23,Very Good,D,VS1,59.0,61.0,373,4.04,4.06,2.39
0.34,Ideal,D,VVS1,61.2,57.0,1272,4.51,4.54,2.77
1.21,Premium,H,VS2,59.3,60.0,6849,6.93,6.99,4.13
0.9,Good,F,SI2,65.9,60.0,3465,5.98,6.01,3.95
0.56,Ideal,F,VS1,61.7,54.0,2016,5.32,5.28,3.27
0.51,Ideal,E,VS2,60.9,56.0,1781,5.2,5.15,3.15
0.52,Premium,E,SI1,61.6,58.0,1605,5.17,5.12,3.17
0.57,Premium,H,VS1,61.7,58.0,1613,5.33,5.3,3.28
0.39,Ideal,F,SI1,61.3,56.0,919,4.69,4.72,2.88
1.82,Premium,H,VS2,61.6,60.0,14749,7.78,7.74,4.78
0.56,Premium,E,VS2,62.1,57.0,1915,5.3,5.27,3.28
1.52,Premium,J,VS2,62.0,59.0,7758,7.28,7.31,4.52
0.34,Ideal,G,IF,61.4,56.0,974,4.5,4.53,2.77
1.19,Very Good,I,SI1,63.2,58.0,4665,6.82,6.7,4.27
0.73,Ideal,F,VS1,61.2,56.0,2835,5.89,5.81,3.58
0.91,Very Good,F,VS1,63.1,59.0,4423,6.19,6.14,3.89
0.5,Ideal,E,SI2,62.5,57.0,1240,5.07,5.04,3.16
0.59,Ideal,D,IF,60.9,60.0,4916,5.41,5.39,3.29
1.17,Ideal,H,SI2,62.3,57.0,5111,6.78,6.74,4.21
0.3,Premium,J,VS1,62.6,58.0,394,4.27,4.32,2.69
0.3,Very Good,D,VVS2,62.9,56.0,752,4.27,4.29,2.69
1.11,Premium,H,SI1,62.5,58.0,5433,6.64,6.61,4.14
0.72,Ideal,G,VVS2,61.6,55.0,3002,5.78,5.77,3.56
2.02,Premium,I,VS2,59.0,59.0,17893,8.34,8.27,4.9
0.53,Very Good,G,VVS1,61.7,57.0,1948,5.19,5.22,3.21
0.72,Ideal,F,SI1,62.0,55.0,2737,5.76,5.79,3.58
0.62,Premium,G,SI1,59.9,58.0,1572,5.56,5.49,3.31
1.0,Premium,G,SI2,61.8,58.0,4319,6.39,6.43,3.96
1.8,Premium,I,SI2,61.8,59.0,8457,7.9,7.8,4.85
1.14,Premium,H,VS2,60.2,58.0,5986,6.74,6.81,4.08
1.25,Ideal,H,SI2,61.6,54.0,4900,6.94,6.88,4.25
0.82,Ideal,F,SI2,61.7,53.0,2867,6.12,6.0,3.74
0.3,Premium,D,SI1,62.3,59.0,709,4.25,4.22,2.64
1.0,Fair,H,VVS2,65.1,57.0,4312,6.27,6.23,4.07
0.33,Very Good,H,VS1,59.0,62.0,540,4.49,4.52,2.66
0.32,Ideal,D,VS2,62.4,57.0,972,4.38,4.34,2.72
0.51,Ideal,E,VVS2,61.7,57.0,2209,5.11,5.14,3.16
0.57,Ideal,I,IF,61.0,55.0,1779,5.38,5.41,3.29
0.9,Premium,G,SI2,61.1,58.0,3303,6.18,6.22,3.79
0.37,Ideal,G,VVS2,60.7,55.0,1073,4.66,4.7,2.84
2.3,Ideal,G,SI2,61.6,57.0,15433,8.47,8.41,5.2
2.28,Ideal,J,VS1,62.6,54.2,16592,8.37,8.41,5.25
0.3,Premium,G,VVS2,61.3,58.0,878,4.34,4.28,2.64
1.1,Premium,E,SI1,60.7,55.0,6098,6.75,6.66,4.07
2.01,Premium,H,SI1,61.4,56.0,18295,8.19,8.13,5.01
1.22,Ideal,H,SI2,61.7,56.0,5807,6.91,6.83,4.24
0.33,Very Good,G,VS2,61.5,59.4,623,4.45,4.49,2.75
1.51,Premium,I,VS1,62.3,60.0,9467,7.28,7.32,4.55
0.7,Ideal,F,SI2,60.1,57.0,2163,5.78,5.81,3.48
1.01,Premium,F,SI2,62.6,60.0,4497,6.37,6.35,3.98
0.42,Good,D,SI1,63.3,58.0,735,4.73,4.75,3.0
1.13,Ideal,I,SI2,61.7,57.0,4385,6.7,6.59,4.13
0.71,Premium,D,VS2,61.2,59.0,2824,5.74,5.69,3.5
0.32,Premium,G,VVS1,58.1,59.0,1080,4.53,4.49,2.62
0.31,Ideal,D,VVS2,61.9,57.0,982,4.35,4.31,2.68
1.21,Fair,H,SI2,65.6,56.0,3862,6.69,6.59,4.36
2.03,Premium,G,I1,61.1,58.0,6377,8.11,8.06,4.94
2.04,Premium,G,SI1,60.7,62.0,15217,8.3,8.15,4.96
1.18,Fair,I,VS2,62.0,66.0,4553,6.75,6.63,4.16
0.71,Ideal,F,VS1,61.7,55.0,3041,5.73,5.77,3.55
0.4,Ideal,F,VVS2,61.7,56.0,1088,4.72,4.74,2.92
0.41,Ideal,I,VVS1,61.8,55.0,1107,4.79,4.76,2.95
0.71,Good,F,VS2,63.8,58.0,2777,5.61,5.64,3.59
0.33,Ideal,E,VS1,61.6,56.0,1002,4.46,4.43,2.74
1.05,Premium,D,SI1,60.5,56.0,5927,6.7,6.59,4.0
1.01,Premium,G,SI2,62.9,57.0,3750,6.39,6.33,4.0
0.32,Good,D,SI1,63.1,57.0,589,4.37,4.38,2.76
1.19,Premium,H,VS2,61.0,59.0,6363,6.91,6.8,4.18
0.5,Good,E,VS2,63.3,56.0,1407,5.11,5.03,3.21
1.09,Premium,E,SI1,62.5,59.0,5628,6.58,6.53,4.1
2.04,Premium,E,SI2,62.7,60.0,15398,8.04,8.0,5.03
1.31,Ideal,G,VS1,61.6,57.0,12008,6.99,7.04,4.32
2.0,Very Good,E,SI2,63.4,60.0,14763,7.97,7.92,5.04
0.3,Premium,H,VS1,62.5,58.0,675,4.34,4.27,2.69
2.01,Premium,I,SI1,60.2,59.0,17474,8.18,8.12,4.91
0.64,Ideal,G,IF,61.3,56.0,2790,5.54,5.58,3.41
1.05,Ideal,F,VS1,62.3,55.0,8100,6.53,6.5,4.06
0.51,Very Good,I,SI1,63.5,60.0,1046,5.03,5.05,3.2
1.22,Ideal,I,SI1,61.7,57.0,5602,6.91,6.86,4.25
1.02,Ideal,E,IF,62.6,57.0,11500,6.41,6.47,4.03
0.3,Ideal,E,VS2,62.0,55.0,844,4.35,4.3,2.68
0.9,Ideal,G,VS2,62.6,57.0,4269,6.14,6.2,3.86
1.57,Ideal,H,VS2,61.8,55.0,12004,7.45,7.49,4.62
1.07,Very Good,G,SI2,64.6,60.0,4340,6.35,6.4,4.12
1.28,Very Good,H,SI2,60.4,61.0,6766,7.08,7.03,4.26
0.55,Ideal,H,VS1,61.2,56.0,1686,5.26,5.3,3.23
0.57,Ideal,F,VS2,62.1,55.0,1637,5.31,5.35,3.31
0.91,Premium,E,SI1,60.5,61.0,4138,6.23,6.19,3.76
0.3,Ideal,D,VS2,62.3,53.9,762,4.3,4.32,2.69
0.37,Ideal,H,VVS1,61.9,54.0,815,4.63,4.65,2.87
0.41,Ideal,D,SI1,61.6,55.0,1015,4.8,4.78,2.95
0.32,Ideal,H,VS2,61.3,55.0,648,4.44,4.4,2.71
0.7,Very Good,F,SI1,59.1,59.0,2278,5.76,5.91,3.45
0.51,Ideal,D,SI2,62.8,57.0,1359,5.12,5.1,3.21
0.71,Good,E,VS2,62.8,60.0,2836,5.6,5.65,3.53
0.54,Ideal,I,VVS1,62.7,57.0,1681,5.22,5.14,3.25
0.5,Good,F,VS2,61.3,61.0,1447,5.05,5.1,3.11
0.75,Ideal,I,VS1,61.9,54.1,2564,5.82,5.85,3.61
1.07,Ideal,I,VS1,62.2,58.0,5103,6.52,6.57,4.07
0.56,Premium,G,VS1,59.9,60.0,2013,5.41,5.37,3.23
0.33,Ideal,F,VVS2,61.9,56.0,1040,4.46,4.42,2.75
1.0,Premium,F,VS2,59.9,59.0,5864,6.46,6.42,3.86
0.5,Premium,D,SI2,58.5,60.0,1178,5.21,5.19,3.04
0.46,Ideal,D,VS2,61.8,56.0,1291,4.93,4.97,3.06
1.3,Premium,H,SI2,61.3,58.0,5096,6.99,6.95,4.27
0.72,Very Good,F,VVS2,59.2,63.0,3952,5.77,5.86,3.44
2.02,Very Good,F,SI1,60.1,60.0,17658,8.21,8.29,4.96
1.26,Very Good,F,VS2,61.4,59.0,9071,6.86,6.96,4.24
0.92,Ideal,G,VS2,62.6,56.0,4405,6.2,6.17,3.87
0.4,Ideal,D,SI1,61.8,55.0,990,4.78,4.74,2.94
0.3,Premium,E,SI1,61.3,60.0,526,4.24,4.28,2.61
0.42,Ideal,G,VVS1,62.0,56.0,1235,4.84,4.81,2.99
0.74,Very Good,I,VS2,60.8,59.0,2327,5.83,5.85,3.55
0.91,Premium,H,SI1,60.9,58.0,3475,6.22,6.26,3.8
2.02,Ideal,H,SI1,62.3,56.0,12332,8.11,8.06,5.04
0.52,Good,G,SI1,63.3,57.0,1244,5.08,5.11,3.22
0.45,Very Good,G,VVS1,60.1,58.0,1263,4.95,4.97,2.98
0.3,Very Good,I,VVS2,62.1,56.0,533,4.27,4.31,2.66
0.79,Premium,H,SI2,60.4,61.0,2471,5.99,5.96,3.61
0.55,Ideal,D,VS2,62.7,57.0,1755,5.2,5.23,3.27
2.02,Ideal,J,SI2,62.7,56.9,11314,8.03,8.07,5.05
0.27,Ideal,I,VVS2,62.1,55.0,459,4.17,4.2,2.6
1.2,Very Good,F,VS2,61.8,58.0,9007,6.75,6.78,4.18
0.91,Ideal,E,SI1,61.4,54.0,5252,6.26,6.24,3.84
1.07,Premium,G,VS2,59.8,58.0,5177,6.67,6.63,3.98
0.52,Ideal,E,VS2,60.4,57.0,1694,5.22,5.17,3.14
0.73,Ideal,D,VS2,61.5,55.0,3980,5.79,5.82,3.57
0.53,Ideal,D,VVS1,62.0,57.0,2732,5.16,5.2,3.21
1.55,Very Good,I,SI1,62.0,62.0,8644,7.33,7.47,4.59
0.51,Ideal,G,VS2,61.8,55.0,1557,5.15,5.18,3.19
0.3,Premium,I,VS1,61.6,60.0,608,4.3,4.27,2.64
0.4,Ideal,F,VS2,62.0,57.0,1080,4.74,4.68,2.92
1.21,Premium,F,SI2,61.8,59.0,4472,6.82,6.77,4.2
0.76,Ideal,H,SI1,61.4,55.0,3050,5.82,5.9,3.6
0.76,Very Good,H,SI1,63.3,58.0,2593,5.79,5.81,3.67
0.4,Premium,F,VS2,59.3,59.0,842,4.79,4.83,2.85
0.52,Premium,G,VVS2,61.1,59.0,1911,5.15,5.2,3.16
0.78,Good,E,SI1,57.9,62.0,2723,6.06,6.03,3.5
0.42,Ideal,F,SI1,61.9,54.0,838,4.87,4.83,3.0
0.42,Ideal,F,VVS1,62.0,55.0,1326,4.81,4.84,2.99
1.2,Premium,F,VVS2,60.5,60.0,10064,6.98,6.87,4.19
0.58,Fair,E,VS1,57.9,56.0,2192,5.52,5.49,3.19
0.96,Fair,H,I1,67.4,62.0,1808,6.13,5.96,4.08
0.42,Ideal,G,VVS1,61.1,56.0,1179,4.82,4.84,2.95
1.01,Ideal,E,SI1,62.0,57.0,5235,6.38,6.45,3.98
0.5,Very Good,E,VS1,60.9,58.0,1801,5.07,5.11,3.1
1.25,Ideal,G,SI1,62.5,54.0,6580,6.88,6.85,4.29
0.32,Good,I,VS2,63.4,55.0,449,4.33,4.37,2.76
1.12,Ideal,H,SI1,60.7,56.0,5457,6.74,6.7,4.08
0.9,Very Good,F,SI2,62.0,61.0,3770,6.14,6.16,3.81
0.53,Premium,G,VVS2,60.8,58.0,1914,5.25,5.18,3.17
0.75,Premium,I,SI2,61.1,57.0,2070,5.88,5.84,3.58
1.0,Premium,G,VS1,61.2,58.0,6462,6.49,6.38,3.94
0.32,Very Good,F,VVS2,62.3,57.0,778,4.38,4.41,2.73
0.59,Good,I,SI2,63.9,57.0,1180,5.3,5.25,3.37
0.79,Ideal,F,SI1,62.5,57.0,2976,5.88,5.92,3.69
1.15,Ideal,H,SI1,62.4,54.0,6106,6.71,6.76,4.2
0.35,Ideal,E,IF,61.4,56.0,1254,4.56,4.53,2.79
0.62,Ideal,G,VVS2,62.6,57.0,2507,5.42,5.47,3.41
0.9,Premium,E,VS2,62.6,59.0,4687,6.14,6.06,3.82
0.24,Very Good,J,VVS2,62.8,57.0,336,3.94,3.96,2.48
0.51,Very Good,F,VS2,58.6,58.0,1774,5.22,5.29,3.08
1.07,Very Good,F,IF,59.4,59.0,11019,6.64,6.7,3.96
0.7,Premium,H,SI1,62.2,57.0,2268,5.74,5.71,3.56
0.51,Premium,E,SI1,61.2,61.0,1402,5.16,5.13,3.15
1.2,Ideal,H,SI1,62.2,58.0,6569,6.81,6.77,4.22
1.05,Premium,D,SI2,58.9,58.0,5134,6.74,6.67,3.95
0.3,Ideal,G,SI1,62.3,54.0,469,4.29,4.32,2.68
0.78,Ideal,E,SI1,62.7,56.0,2664,5.88,5.83,3.67
0.39,Premium,G,VS1,62.6,58.0,1097,4.7,4.66,2.93
0.37,Premium,F,SI1,62.5,58.0,791,4.57,4.52,2.84
0.41,Premium,I,SI2,61.6,59.0,539,4.76,4.79,2.94
1.64,Very Good,F,SI2,63.2,57.0,8357,7.56,7.47,4.75
0.54,Ideal,H,VVS1,61.1,57.0,1944,5.26,5.22,3.2
0.67,Good,F,SI1,60.2,61.0,1897,5.64,5.69,3.41
0.26,Very Good,E,VVS2,63.0,58.0,597,4.0,4.03,2.53
0.32,Ideal,F,VVS1,62.1,56.0,990,4.43,4.39,2.74
0.9,Very Good,E,SI1,62.9,57.0,3510,6.11,6.17,3.86
2.0,Premium,J,VS1,62.0,62.0,11793,8.02,7.91,4.94
1.01,Good,H,SI1,60.3,64.0,4242,6.49,6.52,3.92
1.11,Good,I,VS2,63.6,58.0,4963,6.52,6.57,4.16
0.37,Ideal,F,VVS2,61.1,56.0,987,4.62,4.65,2.83
0.83,Ideal,J,VS2,61.5,57.0,2241,6.08,6.03,3.72
0.59,Very Good,F,IF,59.9,63.0,2632,5.44,5.47,3.27
0.27,Ideal,E,VS1,61.4,57.0,704,4.17,4.23,2.58
0.42,Very Good,E,SI1,62.5,55.0,773,4.8,4.83,3.01
1.16,Ideal,G,IF,62.0,57.0,10082,6.73,6.7,4.16
0.72,Very Good,F,SI1,62.3,57.0,2540,5.72,5.77,3.58
1.05,Ideal,F,VS2,62.8,57.0,6933,6.48,6.45,4.06
0.35,Premium,D,VS2,61.9,58.0,1063,4.6,4.51,2.82
0.28,Very Good,D,VS1,60.5,58.0,458,4.23,4.26,2.57
0.83,Very Good,F,VS1,63.3,56.0,3603,5.99,5.92,3.77
1.04,Fair,I,I1,67.3,56.0,2037,6.34,6.23,4.22
1.5,Premium,I,VS2,62.3,58.0,8820,7.31,7.26,4.54
1.23,Premium,J,SI1,61.9,54.0,4649,6.89,6.86,4.26
1.51,Good,G,VS2,63.3,60.0,12756,7.2,7.28,4.58
0.42,Ideal,I,VVS1,60.2,57.0,945,4.88,4.85,2.93
0.51,Ideal,E,VS2,62.6,55.0,1656,5.08,5.11,3.19
0.37,Ideal,D,SI1,61.9,54.0,643,4.62,4.65,2.87
0.36,Ideal,D,VS2,61.0,56.0,1094,4.63,4.59,2.81
0.53,Ideal,D,VS2,61.1,56.0,1825,5.28,5.24,3.21
1.01,Premium,E,SI1,62.9,59.0,4853,6.38,6.3,3.99
0.36,Very Good,H,IF,60.8,57.0,865,4.58,4.6,2.79
0.75,Premium,I,SI1,62.0,60.0,2273,5.8,5.75,3.57
0.3,Ideal,H,VVS2,60.8,58.0,590,4.33,4.38,2.65
1.34,Premium,G,SI2,60.1,61.0,4953,7.11,7.06,4.26
1.2,Very Good,H,SI1,61.0,58.0,6019,6.84,6.92,4.2
0.7,Fair,E,SI2,65.3,56.0,1998,5.57,5.54,3.63
0.31,Premium,I,SI1,60.7,60.0,523,4.37,4.33,2.64
1.51,Ideal,G,VS2,62.1,54.0,12551,7.34,7.31,4.55
0.51,Ideal,F,VVS2,61.8,56.0,2098,5.13,5.16,3.18
0.31,Ideal,F,VS2,61.8,53.0,591,4.36,4.38,2.7
0.31,Ideal,E,VS1,60.9,57.0,734,4.39,4.41,2.68
0.28,Ideal,F,IF,61.4,57.0,787,4.22,4.25,2.6
0.51,Ideal,G,VVS2,62.5,59.0,1825,5.08,5.12,3.19
1.12,Very Good,E,SI1,61.3,63.0,6098,6.68,6.73,4.11
1.37,Premium,H,VS1,60.9,59.0,8577,7.24,7.17,4.39
1.51,Good,E,SI2,64.3,58.0,7314,7.24,7.15,4.62
1.0,Very Good,D,SI2,64.7,57.0,4541,6.29,6.36,4.09
0.31,Ideal,D,VS2,62.1,54.0,734,4.35,4.41,2.72
1.53,Very Good,E,VS1,60.7,60.0,14931,7.38,7.52,4.52
0.84,Very Good,G,SI2,62.8,57.0,3015,6.0,6.04,3.78
1.02,Ideal,G,VS2,62.6,56.0,6591,6.4,6.44,4.02
0.3,Premium,I,VVS2,61.8,58.0,675,4.33,4.28,2.66
0.35,Premium,G,IF,60.6,60.0,1044,4.54,4.57,2.76
0.53,Good,E,SI1,63.1,56.0,1355,5.15,5.19,3.26
0.38,Ideal,D,VVS2,61.3,56.0,1200,4.63,4.73,2.87
0.56,Premium,J,VS2,60.9,60.0,1232,5.33,5.27,3.23
0.71,Very Good,F,VS1,62.1,53.0,3013,5.7,5.77,3.56
0.52,Premium,E,SI1,59.8,61.0,1577,5.2,5.17,3.1
0.9,Good,H,SI1,64.2,59.0,3290,6.05,6.01,3.87
1.02,Very Good,F,SI1,60.2,60.0,5077,6.55,6.61,3.96
1.04,Ideal,H,VS2,59.3,57.0,5416,6.64,6.58,3.92
0.35,Ideal,I,IF,62.5,55.0,737,4.52,4.54,2.83
0.26,Ideal,G,VS1,62.5,53.0,508,4.1,4.13,2.57
0.9,Very Good,I,SI1,62.3,56.0,3308,6.12,6.18,3.83
0.96,Premium,H,SI2,59.4,56.0,3690,6.47,6.42,3.83
0.3,Ideal,I,VS2,62.0,55.0,438,4.3,4.35,2.68
0.3,Ideal,F,VS2,61.1,56.0,605,4.31,4.33,2.64
1.2,Ideal,G,VVS2,61.1,56.0,10454,6.88,6.91,4.21
1.0,Very Good,E,VS1,63.2,53.0,5914,6.4,6.33,4.02
0.38,Ideal,D,SI2,61.1,56.0,812,4.71,4.65,2.86
0.37,Premium,G,VS2,59.7,61.0,944,4.72,4.66,2.8
0.7,Ideal,I,VS1,62.4,56.0,2398,5.66,5.68,3.54
0.33,Very Good,G,VVS2,63.0,57.0,752,4.38,4.42,2.77
0.31,Ideal,D,VS2,62.9,55.0,942,4.34,4.31,2.72
0.9,Very Good,E,VS2,59.1,62.0,4580,6.24,6.28,3.7
0.75,Ideal,I,SI1,61.8,55.0,2871,5.83,5.85,3.61
0.7,Premium,G,VS2,60.8,58.0,2317,5.75,5.8,3.51
1.21,Premium,J,SI1,59.7,60.0,4492,6.9,6.93,4.13
0.91,Fair,J,VS2,64.4,62.0,2854,6.06,6.03,3.89
0.53,Ideal,G,IF,62.1,57.0,2372,5.16,5.21,3.22
0.38,Very Good,E,VS2,60.5,62.0,866,4.65,4.74,2.84
0.3,Ideal,D,VS2,61.4,54.0,911,4.34,4.33,2.66
0.3,Premium,G,VS1,60.0,60.0,605,4.3,4.33,2.59
1.26,Ideal,H,SI1,61.0,56.0,6715,7.0,7.04,4.28
0.7,Fair,E,SI1,64.4,53.0,2697,5.61,5.57,3.6
0.24,Ideal,F,VVS2,61.4,59.0,540,4.0,4.05,2.47
1.24,Premium,H,VS1,61.2,59.0,7358,6.91,6.94,4.24
0.81,Premium,F,SI1,59.4,60.0,2403,6.11,6.07,3.62
1.16,Ideal,I,SI2,62.8,57.0,3605,6.8,6.64,4.22
0.33,Ideal,F,VS2,61.6,56.0,666,4.44,4.46,2.74
0.7,Premium,F,SI1,60.8,58.0,2415,5.78,5.74,3.5
0.55,Ideal,F,VS2,61.2,55.0,1698,5.3,5.28,3.24
0.7,Ideal,G,VS2,62.3,57.0,2723,5.66,5.7,3.54
0.28,Ideal,F,SI1,60.6,55.0,481,4.26,4.3,2.6
0.9,Premium,D,SI1,62.6,58.0,4304,6.15,6.11,3.84
1.01,Premium,G,VS1,60.7,58.0,6932,6.49,6.52,3.95
0.5,Good,G,SI2,63.8,57.0,1107,5.02,4.98,3.19
1.53,Ideal,I,VS2,61.5,56.0,11434,7.39,7.44,4.55
0.35,Ideal,E,VS2,62.0,57.0,984,4.55,4.51,2.81
0.43,Ideal,F,VVS2,61.9,56.0,1169,4.82,4.87,3.0
0.59,Ideal,D,SI1,61.7,56.0,1671,5.39,5.43,3.34
0.31,Premium,G,SI1,58.8,62.0,593,4.42,4.39,2.59
1.46,Ideal,G,VS2,62.3,56.0,10302,7.28,7.2,4.51
0.29,Very Good,E,VS1,60.0,57.0,619,4.33,4.34,2.6
0.5,Good,E,SI1,63.7,56.0,1415,5.06,5.02,3.21
0.42,Premium,E,SI2,60.1,58.0,838,4.91,4.87,2.94
0.91,Premium,I,VS2,62.4,61.0,3376,6.18,6.16,3.85
1.03,Very Good,G,VS1,60.6,58.0,6487,6.48,6.55,3.95
1.01,Ideal,F,SI2,61.7,56.0,5154,6.43,6.47,3.98
0.43,Premium,G,VVS1,60.9,58.0,1207,4.88,4.91,2.98
1.51,Fair,H,SI2,64.5,59.0,6291,7.21,7.15,4.63
